Congressmember Name,Congressmember Role
"Gallego, Ruben","Representative for Arizona's 7th congressional district, 2015-2020"
"Garamendi, John","Representative for California's 3rd congressional district, 2013-2020"
"Garcia, Sylvia","Representative for Texas's 29th congressional district, 2019-2020"
"García, Jesús","Representative for Illinois's 4th congressional district, 2019-2020"
"Gardner, Cory","Junior Senator for Colorado, 2015-2020"
"Gianforte, Greg","Representative for Montana At Large, 2017-2020"
"Gibbs, Bob","Representative for Ohio's 7th congressional district, 2013-2020"
"Gillibrand, Kirsten","Junior Senator for New York, 2009-2024"
"Gohmert, Louie","Representative for Texas's 1st congressional district, 2005-2020"
"Golden, Jared","Representative for Maine's 2nd congressional district, 2019-2020"
"Gomez, Jimmy","Representative for California's 34th congressional district, 2017-2020"
"Gonzalez, Anthony","Representative for Ohio's 16th congressional district, 2019-2020"
"Gonzalez, Vicente","Representative for Texas's 15th congressional district, 2017-2020"
"González-Colón, Jenniffer","Resident Commissioner for Puerto Rico, 2017-2020"
"Gooden, Lance","Representative for Texas's 5th congressional district, 2019-2020"
"Gosar, Paul","Representative for Arizona's 4th congressional district, 2013-2020"
"Gottheimer, Josh","Representative for New Jersey's 5th congressional district, 2017-2020"
"Graham, Lindsey","Senior Senator for South Carolina, 2003-2020"
"Granger, Kay","Representative for Texas's 12th congressional district, 1997-2020"
"Grassley, Charles “Chuck”","Senior Senator for Iowa, 1981-2022"
"Graves, Garret","Representative for Louisiana's 6th congressional district, 2015-2020"
"Graves, Sam","Representative for Missouri's 6th congressional district, 2001-2020"
"Graves, Tom","Representative for Georgia's 14th congressional district, 2013-2020"
"Green, Al","Representative for Texas's 9th congressional district, 2005-2020"
"Green, Mark","Representative for Tennessee's 7th congressional district, 2019-2020"
"Griffith, Morgan","Representative for Virginia's 9th congressional district, 2011-2020"
"Grijalva, Raúl","Representative for Arizona's 3rd congressional district, 2013-2020"
"Grothman, Glenn","Representative for Wisconsin's 6th congressional district, 2015-2020"
"Guest, Michael","Representative for Mississippi's 3rd congressional district, 2019-2020"
"Guthrie, Brett","Representative for Kentucky's 2nd congressional district, 2009-2020"
"Haaland, Debra","Representative for New Mexico's 1st congressional district, 2019-2020"
"Hagedorn, Jim","Representative for Minnesota's 1st congressional district, 2019-2020"
"Harder, Josh","Representative for California's 10th congressional district, 2019-2020"
"Harris, Andy","Representative for Maryland's 1st congressional district, 2011-2020"
"Harris, Kamala","Junior Senator for California, 2017-2022"
"Hartzler, Vicky","Representative for Missouri's 4th congressional district, 2011-2020"
"Hassan, Margaret “Maggie”","Junior Senator for New Hampshire, 2017-2022"
"Hastings, Alcee","Representative for Florida's 20th congressional district, 2013-2020"
"Hawley, Joshua","Junior Senator for Missouri, 2019-2024"
"Hayes, Jahana","Representative for Connecticut's 5th congressional district, 2019-2020"
"Heck, Denny","Representative for Washington's 10th congressional district, 2013-2020"
"Heinrich, Martin","Junior Senator for New Mexico, 2013-2024"
"Hern, Kevin","Representative for Oklahoma's 1st congressional district, 2018-2020"
"Herrera Beutler, Jaime","Representative for Washington's 3rd congressional district, 2011-2020"
"Hice, Jody","Representative for Georgia's 10th congressional district, 2015-2020"
"Higgins, Brian","Representative for New York's 26th congressional district, 2013-2020"
"Higgins, Clay","Representative for Louisiana's 3rd congressional district, 2017-2020"
"Hill, French","Representative for Arkansas's 2nd congressional district, 2015-2020"
"Himes, James","Representative for Connecticut's 4th congressional district, 2009-2020"
"Hirono, Mazie","Junior Senator for Hawaii, 2013-2024"
"Hoeven, John","Senior Senator for North Dakota, 2011-2022"
"Holding, George","Representative for North Carolina's 2nd congressional district, 2017-2020"
"Hollingsworth, Trey","Representative for Indiana's 9th congressional district, 2017-2020"
"Horn, Kendra","Representative for Oklahoma's 5th congressional district, 2019-2020"
"Horsford, Steven","Representative for Nevada's 4th congressional district, 2019-2020"
"Houlahan, Chrissy","Representative for Pennsylvania's 6th congressional district, 2019-2020"
"Hoyer, Steny","Representative for Maryland's 5th congressional district, 1981-2020"
"Hudson, Richard","Representative for North Carolina's 8th congressional district, 2013-2020"
"Huffman, Jared","Representative for California's 2nd congressional district, 2013-2020"
"Huizenga, Bill","Representative for Michigan's 2nd congressional district, 2011-2020"
"Hurd, Will","Representative for Texas's 23rd congressional district, 2015-2020"
"Hyde-Smith, Cindy","Junior Senator for Mississippi, 2018-2020"
"Inhofe, James “Jim”","Senior Senator for Oklahoma, 1994-2020"
"Jackson Lee, Sheila","Representative for Texas's 18th congressional district, 1995-2020"
"Jayapal, Pramila","Representative for Washington's 7th congressional district, 2017-2020"
"Jeffries, Hakeem","Representative for New York's 8th congressional district, 2013-2020"
"Johnson, Bill","Representative for Ohio's 6th congressional district, 2011-2020"
"Johnson, Dusty","Representative for South Dakota At Large, 2019-2020"
"Johnson, Eddie","Representative for Texas's 30th congressional district, 1993-2020"
"Johnson, Henry “Hank”","Representative for Georgia's 4th congressional district, 2007-2020"
"Johnson, Mike","Representative for Louisiana's 4th congressional district, 2017-2020"
"Johnson, Ron","Senior Senator for Wisconsin, 2011-2022"
"Jones, Doug","Junior Senator for Alabama, 2018-2020"
"Jordan, Jim","Representative for Ohio's 4th congressional district, 2007-2020"
"Joyce, David","Representative for Ohio's 14th congressional district, 2013-2020"
"Joyce, John","Representative for Pennsylvania's 13th congressional district, 2019-2020"
"Kaine, Timothy “Tim”","Junior Senator for Virginia, 2013-2024"
"Kaptur, Marcy","Representative for Ohio's 9th congressional district, 1983-2020"
"Katko, John","Representative for New York's 24th congressional district, 2015-2020"
"Keating, William","Representative for Massachusetts's 9th congressional district, 2013-2020"
"Keller, Fred","Representative for Pennsylvania's 12th congressional district, 2019-2020"
"Kelly, Mike","Representative for Pennsylvania's 16th congressional district, 2019-2020"
"Kelly, Robin","Representative for Illinois's 2nd congressional district, 2013-2020"
"Kelly, Trent","Representative for Mississippi's 1st congressional district, 2015-2020"
"Kennedy, John","Junior Senator for Louisiana, 2017-2022"
"Kennedy, Joseph","Representative for Massachusetts's 4th congressional district, 2013-2020"
"Khanna, Ro","Representative for California's 17th congressional district, 2017-2020"
"Kildee, Daniel","Representative for Michigan's 5th congressional district, 2013-2020"
"Kilmer, Derek","Representative for Washington's 6th congressional district, 2013-2020"
"Kim, Andy","Representative for New Jersey's 3rd congressional district, 2019-2020"
"Kind, Ron","Representative for Wisconsin's 3rd congressional district, 1997-2020"
"King, Angus","Junior Senator for Maine, 2013-2024"
"King, Peter “Pete”","Representative for New York's 2nd congressional district, 2013-2020"
"King, Steve","Representative for Iowa's 4th congressional district, 2013-2020"
"Kinzinger, Adam","Representative for Illinois's 16th congressional district, 2013-2020"
"Kirkpatrick, Ann","Representative for Arizona's 2nd congressional district, 2019-2020"
"Klobuchar, Amy","Senior Senator for Minnesota, 2007-2024"
"Krishnamoorthi, Raja","Representative for Illinois's 8th congressional district, 2017-2020"
"Kuster, Ann","Representative for New Hampshire's 2nd congressional district, 2013-2020"
"Kustoff, David","Representative for Tennessee's 8th congressional district, 2017-2020"
"LaHood, Darin","Representative for Illinois's 18th congressional district, 2015-2020"
"LaMalfa, Doug","Representative for California's 1st congressional district, 2013-2020"
"Lamb, Conor","Representative for Pennsylvania's 17th congressional district, 2019-2020"
"Lamborn, Doug","Representative for Colorado's 5th congressional district, 2007-2020"
"Langevin, James “Jim”","Representative for Rhode Island's 2nd congressional district, 2001-2020"
"Lankford, James","Junior Senator for Oklahoma, 2015-2022"
"Larsen, Rick","Representative for Washington's 2nd congressional district, 2001-2020"
"Larson, John","Representative for Connecticut's 1st congressional district, 1999-2020"
"Latta, Robert","Representative for Ohio's 5th congressional district, 2007-2020"
"Lawrence, Brenda","Representative for Michigan's 14th congressional district, 2015-2020"
"Lawson, Al","Representative for Florida's 5th congressional district, 2017-2020"
"Leahy, Patrick","Senior Senator for Vermont, 1975-2022"
"Lee, Barbara","Representative for California's 13th congressional district, 2013-2020"
"Lee, Mike","Senior Senator for Utah, 2011-2022"
"Lee, Susie","Representative for Nevada's 3rd congressional district, 2019-2020"
"Lesko, Debbie","Representative for Arizona's 8th congressional district, 2018-2020"
"Levin, Andy","Representative for Michigan's 9th congressional district, 2019-2020"
"Levin, Mike","Representative for California's 49th congressional district, 2019-2020"
"Lewis, John","Representative for Georgia's 5th congressional district, 1987-2020"
"Lieu, Ted","Representative for California's 33rd congressional district, 2015-2020"
"Lipinski, Daniel","Representative for Illinois's 3rd congressional district, 2005-2020"
"Loebsack, David","Representative for Iowa's 2nd congressional district, 2007-2020"
"Loeffler, Kelly","Junior Senator for Georgia, 2020-2020"
"Lofgren, Zoe","Representative for California's 19th congressional district, 2013-2020"
"Long, Billy","Representative for Missouri's 7th congressional district, 2011-2020"
"Loudermilk, Barry","Representative for Georgia's 11th congressional district, 2015-2020"
"Lowenthal, Alan","Representative for California's 47th congressional district, 2013-2020"
"Lowey, Nita","Representative for New York's 17th congressional district, 2013-2020"
"Lucas, Frank","Representative for Oklahoma's 3rd congressional district, 2003-2020"
"Luetkemeyer, Blaine","Representative for Missouri's 3rd congressional district, 2013-2020"
"Luján, Ben","Representative for New Mexico's 3rd congressional district, 2009-2020"
"Luria, Elaine","Representative for Virginia's 2nd congressional district, 2019-2020"
"Lynch, Stephen","Representative for Massachusetts's 8th congressional district, 2013-2020"
"Malinowski, Tom","Representative for New Jersey's 7th congressional district, 2019-2020"
"Maloney, Carolyn","Representative for New York's 12th congressional district, 2013-2020"
"Maloney, Sean","Representative for New York's 18th congressional district, 2013-2020"
"Manchin, Joe","Senior Senator for West Virginia, 2010-2024"
"Marchant, Kenny","Representative for Texas's 24th congressional district, 2005-2020"
"Markey, Edward “Ed”","Junior Senator for Massachusetts, 2013-2020"
"Marshall, Roger","Representative for Kansas's 1st congressional district, 2017-2020"
"Massie, Thomas","Representative for Kentucky's 4th congressional district, 2012-2020"
"Mast, Brian","Representative for Florida's 18th congressional district, 2017-2020"
"Matsui, Doris","Representative for California's 6th congressional district, 2013-2020"
"McAdams, Ben","Representative for Utah's 4th congressional district, 2019-2020"
"McBath, Lucy","Representative for Georgia's 6th congressional district, 2019-2020"
"McCarthy, Kevin","Representative for California's 23rd congressional district, 2013-2020"
"McCaul, Michael","Representative for Texas's 10th congressional district, 2005-2020"
"McClintock, Tom","Representative for California's 4th congressional district, 2009-2020"
"McCollum, Betty","Representative for Minnesota's 4th congressional district, 2001-2020"
"McConnell, Mitch","Senior Senator for Kentucky, 1985-2020"
"McEachin, Donald","Representative for Virginia's 4th congressional district, 2017-2020"
"McGovern, James “Jim”","Representative for Massachusetts's 2nd congressional district, 2013-2020"
"McHenry, Patrick","Representative for North Carolina's 10th congressional district, 2005-2020"
"McKinley, David","Representative for West Virginia's 1st congressional district, 2011-2020"
"McMorris Rodgers, Cathy","Representative for Washington's 5th congressional district, 2005-2020"
"McNerney, Jerry","Representative for California's 9th congressional district, 2013-2020"
"McSally, Martha","Junior Senator for Arizona, 2019-2020"
"Meadows, Mark","Representative for North Carolina's 11th congressional district, 2013-2020"
"Meeks, Gregory","Representative for New York's 5th congressional district, 2013-2020"
"Menendez, Robert “Bob”","Senior Senator for New Jersey, 2006-2024"
"Meng, Grace","Representative for New York's 6th congressional district, 2013-2020"
"Merkley, Jeff","Junior Senator for Oregon, 2009-2020"
"Meuser, Daniel","Representative for Pennsylvania's 9th congressional district, 2019-2020"
"Miller, Carol","Representative for West Virginia's 3rd congressional district, 2019-2020"
"Mitchell, Paul","Representative for Michigan's 10th congressional district, 2017-2020"
"Moolenaar, John","Representative for Michigan's 4th congressional district, 2015-2020"
"Mooney, Alex","Representative for West Virginia's 2nd congressional district, 2015-2020"
"Moore, Gwen","Representative for Wisconsin's 4th congressional district, 2005-2020"
"Moran, Jerry","Junior Senator for Kansas, 2011-2022"
"Morelle, Joseph","Representative for New York's 25th congressional district, 2018-2020"
"Moulton, Seth","Representative for Massachusetts's 6th congressional district, 2015-2020"
"Mucarsel-Powell, Debbie","Representative for Florida's 26th congressional district, 2019-2020"
"Mullin, Markwayne","Representative for Oklahoma's 2nd congressional district, 2013-2020"
"Murkowski, Lisa","Senior Senator for Alaska, 2003-2022"
"Murphy, Christopher","Junior Senator for Connecticut, 2013-2024"
"Murphy, Gregory","Representative for North Carolina's 3rd congressional district, 2019-2020"
"Murphy, Stephanie","Representative for Florida's 7th congressional district, 2017-2020"
"Murray, Patty","Senior Senator for Washington, 1993-2022"
"Nadler, Jerrold","Representative for New York's 10th congressional district, 2013-2020"
"Napolitano, Grace","Representative for California's 32nd congressional district, 2013-2020"
"Neal, Richard","Representative for Massachusetts's 1st congressional district, 2013-2020"
"Neguse, Joe","Representative for Colorado's 2nd congressional district, 2019-2020"
"Newhouse, Dan","Representative for Washington's 4th congressional district, 2015-2020"
"Norcross, Donald","Representative for New Jersey's 1st congressional district, 2014-2020"
"Norman, Ralph","Representative for South Carolina's 5th congressional district, 2017-2020"
"Norton, Eleanor","Representative for the District of Columbia, 1991-2020"
"Nunes, Devin","Representative for California's 22nd congressional district, 2013-2020"
"Ocasio-Cortez, Alexandria","Representative for New York's 14th congressional district, 2019-2020"
"Olson, Pete","Representative for Texas's 22nd congressional district, 2009-2020"
"Omar, Ilhan","Representative for Minnesota's 5th congressional district, 2019-2020"
"O’Halleran, Tom","Representative for Arizona's 1st congressional district, 2017-2020"
"Palazzo, Steven","Representative for Mississippi's 4th congressional district, 2011-2020"
"Pallone, Frank","Representative for New Jersey's 6th congressional district, 1993-2020"
"Palmer, Gary","Representative for Alabama's 6th congressional district, 2015-2020"
"Panetta, Jimmy","Representative for California's 20th congressional district, 2017-2020"
"Pappas, Chris","Representative for New Hampshire's 1st congressional district, 2019-2020"
"Pascrell, Bill","Representative for New Jersey's 9th congressional district, 2013-2020"
"Paul, Rand","Junior Senator for Kentucky, 2011-2022"
"Payne, Donald","Representative for New Jersey's 10th congressional district, 2012-2020"
"Pelosi, Nancy","Representative for California's 12th congressional district, 2013-2020"
"Pence, Greg","Representative for Indiana's 6th congressional district, 2019-2020"
"Perdue, David","Senior Senator for Georgia, 2015-2020"
"Perlmutter, Ed","Representative for Colorado's 7th congressional district, 2007-2020"
"Perry, Scott","Representative for Pennsylvania's 10th congressional district, 2019-2020"
"Peters, Gary","Junior Senator for Michigan, 2015-2020"
"Peters, Scott","Representative for California's 52nd congressional district, 2013-2020"
"Peterson, Collin","Representative for Minnesota's 7th congressional district, 1991-2020"
"Phillips, Dean","Representative for Minnesota's 3rd congressional district, 2019-2020"
"Pingree, Chellie","Representative for Maine's 1st congressional district, 2009-2020"
"Plaskett, Stacey","Representative for the Virgin Islands, 2015-2020"
"Pocan, Mark","Representative for Wisconsin's 2nd congressional district, 2013-2020"
"Porter, Katie","Representative for California's 45th congressional district, 2019-2020"
"Portman, Robert “Rob”","Junior Senator for Ohio, 2011-2022"
"Posey, Bill","Representative for Florida's 8th congressional district, 2013-2020"
"Pressley, Ayanna","Representative for Massachusetts's 7th congressional district, 2019-2020"
